# Este arquivo contém a lista de processos para o escalonador.
# Formato de cada linha: Nome Prioridade ID Ciclos Recurso
#
# Prioridade: 1 (alta), 2 (média), 3 (baixa)
# ID: Número de identificação único
# Ciclos: Quantidade de tempo de execução necessário
# Recurso: CPU, Disco, Impressora, Rede, ou 'null' se nenhum recurso for necessário

ProcessoA 1 101 5 CPU
ProcessoB 2 102 8 Disco
ProcessoC 3 103 2 Impressora
ProcessoD 2 104 6 Rede
ProcessoE 1 105 10 null
ProcessoF 3 106 7 Disco
ProcessoG 2 107 4 CPU
ProcessoH 3 108 3 Impressora
ProcessoI 1 109 9 Rede
ProcessoJ 2 110 5 null
